26,29/09/2025,ringmappe-transparent-gerillt-a4,,Google Shopping / Google Product Category,,,Missing google category for product category: ,warn,4
27,29/09/2025,ringmappe-transparent-gerillt-a4,,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category: ),warn,4
27,29/09/2025,ringmappe-transparent-gerillt-a4,,Google Shopping / Google Product Category,,,Missing google category for product category: ,warn,4
28,29/09/2025,zeichenblock-a4-motive-115-g,Zeichenblock A4 Motive 115 g,Google Shopping / Google Product Category,,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials > Art & Craft Paper > Drawing & Painting Paper,Mapped via google_taxonomy_map,info,4
29,29/09/2025,zeichenblock-a4-motive-115-g,,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category: ),warn,4
29,29/09/2025,zeichenblock-a4-motive-115-g,,Google Shopping / Google Product Category,,,Missing google category for product category: ,warn,4
30,29/09/2025,zeichenblock-a3-motive-115-g,Zeichenblock A3 Motive 115 g,Google Shopping / Google Product Category,,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials > Art & Craft Paper > Drawing & Painting Paper,Mapped via google_taxonomy_map,info,4
31,29/09/2025,zeichenblock-a3-motive-115-g,,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category: ),warn,4
31,29/09/2025,zeichenblock-a3-motive-115-g,,Google Shopping / Google Product Category,,,Missing google category for product category: ,warn,4
32,29/09/2025,ringeinlagen-a4-100-kariert,Ringeinlagen A4/100 kariert,Google Shopping / Google Product Category,,Business & Industrial > Office Supplies > Filing & Organization > Binding Supplies > Binder Accessories > Binder Rings,Mapped via google_taxonomy_map,info,4
33,29/09/2025,uhu-flinke-flasche-35-g,UHU Flinke Flasche 35 g.,Google Shopping / Google Product Category,,Business & Industrial > Office Supplies > General Office Supplies > Adhesives & Tapes > Glue & Adhesives > Liquid Glue,Mapped via google_taxonomy_map,info,4
34,29/09/2025,tintenpatrone-50-blau-in-dose,"Tintenpatrone/50 blau, in Dose",Google Shopping / Google Product Category,,"Electronics > Print, Copy, Scan & Fax > Printer, Copier & Fax Machine Accessories > Printer Consumables > Toner & Inkjet Cartridge Refills",Mapped via google_taxonomy_map,info,4
35,29/09/2025,tintenpatrone-50-blau-in-dose,,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category: ),warn,4
35,29/09/2025,tintenpatrone-50-blau-in-dose,,Google Shopping / Google Product Category,,,Missing google category for product category: ,warn,4
36,29/09/2025,fasermaler-dick-dunn-10er,Fasermaler dick/dünn 10er,Google Shopping / Google Product Category,,Business & Industrial > Office Supplies > Office Instruments > Writing & Drawing Instruments > Pens & Pencils > Pens > Felt-Tip Pens,Mapped via google_taxonomy_map,info,4
37,29/09/2025,fasermaler-dick-dunn-10er,,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category: ),warn,4
37,29/09/2025,fasermaler-dick-dunn-10er,,Google Shopping / Google Product Category,,,Missing google category for product category: ,warn,4
38,29/09/2025,textliner-boss-mini-naturevibe,Textliner Boss Mini Naturevibe,Google Shopping / Google Product Category,,Business & Industrial > Office Supplies > Office Instruments > Writing & Drawing Instruments > Markers & Highlighters > Highlighters,Mapped via google_taxonomy_map,info,4
39,29/09/2025,textliner-boss-mini-naturevibe,,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category: ),warn,4
39,29/09/2025,textliner-boss-mini-naturevibe,,Google Shopping / Google Product Category,,,Missing google category for product category: ,warn,4
40,29/09/2025,textliner-boss-mini-naturevibe,,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category: ),warn,4
